,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
4411,4737401,2017-06-21 13:14:23.990,CA,AB,Fort Mackay,57.33845,-111.78738,4.155215597463628,POI1
4412,4737483,2017-06-21 18:14:20.130,CA,AB,Calgary,51.13004,-114.16492,2.5097735560653667,POI1
4413,4737559,2017-06-21 17:14:20.180,CA,ON,Mississauga,43.5769,-79.6283,6.366565886222881,POI3
4414,4737602,2017-06-21 06:14:20.250,CA,AB,Calgary,51.05574,-113.95685,2.5345960087921338,POI1
4415,4737666,2017-06-21 09:14:21.130,CA,AB,Calgary,51.05857,-114.07786000000002,2.5570983622623933,POI1
4416,4737759,2017-06-21 15:14:22.110,CA,ON,Shelburne,44.0789,-80.2062,6.795101491399298,POI3
4417,4737826,2017-06-21 02:14:22.230,CA,ON,Oshawa,43.94982,-78.86354,5.525781329616383,POI3
4418,4737888,2017-06-21 11:14:19.787,CA,AB,Edmonton,53.5314,-113.582,0.09739202762545526,POI1
4420,4738014,2017-06-21 15:14:20.073,CA,ON,Oshawa,43.88981,-78.83544,5.51630113661474,POI3
4422,4738131,2017-06-21 05:14:20.640,CA,AB,Calgary,50.9398,-114.0324,2.6630795433567163,POI1
4423,4738179,2017-06-21 19:14:21.070,CA,AB,Calgary,51.09332,-114.07887,2.5235428904429207,POI1
4424,4738271,2017-06-21 22:14:21.953,CA,AB,Innisfail,52.0269,-113.9507,1.5888252258964828,POI1
4425,4738276,2017-06-21 22:14:22.033,CA,ON,Oshawa,43.9156,-78.8632,5.535287049812058,POI3
4426,4738296,2017-06-21 18:14:22.710,CA,AB,Fort Mackay,57.338730000000005,-111.78695,4.155646903627042,POI1
4427,4738372,2017-06-21 20:14:23.033,CA,AB,Fort Mackay,57.338730000000005,-111.78695,4.155646903627042,POI1
4428,4738377,2017-06-21 15:14:24.487,CA,AB,Edmonton,53.6365,-113.4673,0.09219470291182356,POI1
4429,4738430,2017-06-21 07:14:22.600,CA,AB,Calgary,51.0486,-113.968,2.5437023045641594,POI1
4430,4738511,2017-06-21 16:14:24.010,CA,ON,Richmond Hill,43.87604,-79.4195,6.08039015520361,POI3
4431,4738581,2017-06-21 10:14:25.030,CA,AB,Edmonton,53.57741,-113.54728,0.06902199044506672,POI1
4432,4738622,2017-06-21 06:14:24.277,CA,SK,Kamsack,51.56423,-101.88856,11.76530998564191,POI1
4433,4738691,2017-06-21 06:14:24.553,CA,QC,Laval,45.5728,-73.73114,0.17286342787588005,POI3
4434,4738738,2017-06-21 12:14:26.453,CA,ON,Scarborough,43.798,-79.227,5.917562522037012,POI3
4435,4738831,2017-06-21 15:14:28.367,CA,BC,Richmond,49.165420000000005,-123.12659,10.589478206726936,POI1
4436,4738844,2017-06-21 18:14:27.783,CA,ON,Toronto,43.6546,-79.3879,6.1139216094268845,POI3
4437,4738864,2017-06-21 13:14:28.060,CA,ON,Kitchener,43.4381,-80.5099,7.249724615267606,POI3
4438,4738961,2017-06-21 08:14:29.827,CA,AB,Edmonton,53.42171,-113.47071000000001,0.12536054173862513,POI1
4439,4738986,2017-06-21 11:14:30.260,CA,AB,Edmonton,53.501259999999995,-113.61583999999999,0.13763796672792197,POI1
4440,4739042,2017-06-21 19:14:32.923,CA,AB,Edmonton,53.587,-113.441,0.06056785157986387,POI1
4441,4739052,2017-06-21 01:14:34.487,CA,ON,Scarborough,43.798,-79.227,5.917562522037012,POI3
4442,4739122,2017-06-21 12:14:34.250,CA,ON,Brampton,43.7476,-79.6912,6.376908335848725,POI3
4444,4739249,2017-06-21 13:14:32.400,CA,AB,Calgary,51.0203,-114.152,2.6122623307097275,POI1
4445,4739269,2017-06-21 06:14:34.717,CA,ON,Innisfil,44.3479,-79.5594,6.107224872461875,POI3
4447,4739372,2017-06-21 18:14:34.833,CA,ON,Scarborough,43.83599,-79.2277,5.907279743443422,POI3
4448,4739416,2017-06-21 14:14:35.250,CA,ON,Kitchener,43.44978,-80.48912,7.226466391260463,POI3
4449,4739515,2017-06-21 05:14:35.423,CA,AB,Calgary,50.89605,-113.94753,2.690051237301067,POI1
4450,4739595,2017-06-21 17:14:34.910,CA,ON,Kingston,44.2377,-76.5602,3.2578464659982025,POI3
4451,4739624,2017-06-21 08:14:34.930,CA,ON,North Bay,46.3377,-79.3717,5.862750693489965,POI3
4452,4739678,2017-06-21 10:14:35.387,CA,AB,Calgary,50.9178,-114.095,2.6980582175788963,POI1
4453,4739762,2017-06-21 00:14:35.990,CA,AB,Edmonton,53.5141,-113.601,0.11964340034033759,POI1
4454,4739841,2017-06-21 08:14:37.240,CA,ON,Toronto,43.6803,-79.3538,6.073618650558913,POI3
4455,4739896,2017-06-21 10:14:37.337,CA,ON,Mississauga,43.5364,-79.6909,6.4385743917281095,POI3
4456,4739932,2017-06-21 12:14:37.483,CA,ON,Ajax,43.8404,-79.0251,5.712096088496493,POI3
